Date,Time,Ch1:Deg F
09/09/2018,22:29:59,71.409
09/09/2018,22:30:09,71.369
09/09/2018,22:30:19,71.369
09/09/2018,22:30:29,71.369
09/09/2018,22:30:39,71.329
09/09/2018,22:30:49,71.329
09/09/2018,22:30:59,71.329
09/09/2018,22:31:09,71.329
09/09/2018,22:31:19,71.329
09/09/2018,22:31:29,71.329
09/09/2018,22:31:39,71.329
09/09/2018,22:31:49,71.329
09/09/2018,22:31:59,71.329
09/09/2018,22:32:09,71.290
09/09/2018,22:32:19,71.290
09/09/2018,22:32:29,71.290
09/09/2018,22:32:39,71.210
09/09/2018,22:32:49,71.210
09/09/2018,22:32:59,71.210
09/09/2018,22:33:09,71.250
09/09/2018,22:33:19,71.290
09/09/2018,22:33:29,71.290
09/09/2018,22:33:39,71.250
09/09/2018,22:33:49,71.290
09/09/2018,22:33:59,71.290
09/09/2018,22:34:09,71.290
09/09/2018,22:34:19,71.290
09/09/2018,22:34:29,71.290
09/09/2018,22:34:39,71.290
09/09/2018,22:34:49,71.290
09/09/2018,22:34:59,71.290
09/09/2018,22:35:09,71.290
09/09/2018,22:35:19,71.329
09/09/2018,22:35:29,71.329
09/09/2018,22:35:39,71.290
09/09/2018,22:35:49,71.290
09/09/2018,22:35:59,71.290
09/09/2018,22:36:09,71.290
09/09/2018,22:36:19,71.290
09/09/2018,22:36:29,71.290
09/09/2018,22:36:39,71.290
09/09/2018,22:36:49,71.290
09/09/2018,22:36:59,71.290
09/09/2018,22:37:09,71.290
09/09/2018,22:37:19,71.290
09/09/2018,22:37:29,71.290
09/09/2018,22:37:39,71.290
09/09/2018,22:37:49,71.290
09/09/2018,22:37:59,71.329
09/09/2018,22:38:09,71.329
09/09/2018,22:38:19,71.329
09/09/2018,22:38:29,71.329
09/09/2018,22:38:39,71.329
09/09/2018,22:38:49,71.290
09/09/2018,22:38:59,71.329
09/09/2018,22:39:09,71.290
09/09/2018,22:39:19,71.290
09/09/2018,22:39:29,71.329
09/09/2018,22:39:39,71.329
09/09/2018,22:39:49,71.329
09/09/2018,22:39:59,71.290
09/09/2018,22:40:09,71.290
09/09/2018,22:40:19,71.290
09/09/2018,22:40:29,71.290
09/09/2018,22:40:39,71.250
09/09/2018,22:40:49,71.250
09/09/2018,22:40:59,71.250
09/09/2018,22:41:09,71.250
09/09/2018,22:41:19,71.250
09/09/2018,22:41:29,71.210
